,问题,来源,mc,问答对
109,非上海户籍的外籍学生，若明年申请上海普通高校，需要哪些毕业证明和身份材料？,36,"Option A: 高中毕业证明和护照  
Option B: 初中毕业证明和签发地为上海的《中华人民共和国外国人永久居留身份证》  
Option C: 高中阶段学校毕业证明和签发地为上海的《中华人民共和国外国人永久居留身份证》  
Option D: 无需额外材料，凭外籍身份直接报考  
Answer: C",C
110,在上海持有永久居留身份证的外国应届生，报考2024年当地高校的资格要求是什么？,36,"Option A: 仅需高中阶段学校毕业  
Option B: 仅需持有上海的永久居留身份证  
Option C: 高中阶段学校毕业并持有上海的永久居留身份证  
Option D: 需额外提供居住证明  
Answer: C",C
111,持有上海签发的外国人永久居留身份证的往届外籍毕业生，2024年在上海报考高校需要满足哪些条件？,37,"Option A: 高中阶段学校毕业并持有签发地为上海的《中华人民共和国外国人永久居留身份证》
Option B: 仅需高中阶段学校毕业
Option C: 需同时提供上海市居住证和《外国人永久居留身份证》
Option D: 需参加上海市统一入学考试
Answer: A",答案：A
112,2024年非本市户籍的外籍往届生报考上海高校需提交哪些证明材料？,37,"Option A: 签发地为上海的《中华人民共和国外国人永久居留身份证》  
Option B: 护照和高中毕业证书  
Option C: 上海市居住证和户籍证明  
Option D: 原国籍身份证件及翻译公证  
Answer: A",A
113,在沪定居的外籍往届生，若想参加2024年上海普通高校考试，学历和证件要求是什么？,37,"Option A: 初中毕业，持有上海签发的护照  
Option B: 高中毕业，持有上海签发的《外国人永久居留身份证》  
Option C: 大学毕业，持有临时居住证  
Option D: 无学历要求，仅需身份证明  
Answer: B",B
114,父母一方是上海博士后流动站在站人员的非本地户籍应届生，2024年在上海高考需要提交哪些证明材料？,38,"Option A: 户口本原件及复印件  
    Option B: 市人力资源社会保障局证明  
    Option C: 高中学校开具的学籍证明  
    Option D: 父母博士后工作合同  
    Answer: B",B
115,非上海户籍考生，若父母是本市在站博士后研究人员，申请2024年上海高校报考需满足哪些要求？,38,"Option A: 高中阶段学校毕业即可  
Option B: 高中阶段学校毕业并提供市人力资源社会保障局证明  
Option C: 需参加本市中考并提供户籍证明  
Option D: 需要父母在沪工作满三年  
Answer: B",B
116,2024年非沪籍应届生报考上海高校，父母为在站博士后工作者需符合什么条件？,38,"Option A: 高中阶段学校毕业，父母双方均在站博士后  
Option B: 高中阶段学校毕业，并提供市人力资源社会保障局证明  
Option C: 需提供本市户籍证明及父母在站博士后证明  
Option D: 需通过市教委审批并提交在站证明  
Answer: B",B
117,2024年在沪高考，非本市户籍往届生父母是博士后需哪些条件？,39,"Option A: 高中阶段学校毕业  
Option B: 高中阶段学校毕业且提供市人力资源社会保障局证明  
Option C: 提供市教育局证明即可  
Option D: 无特殊要求  
Answer: B",B
118,父母属于上海博士后流动站在站人员的往届毕业生，报考上海高校需要提交什么材料？,39,"Option A: 市教育考试院证明  
Option B: 市公安局户籍证明  
Option C: 市人力资源社会保障局证明  
Option D: 所在高中毕业证明  
Answer: C",C
119,非本市户籍往届考生，若父母一方是本市在站博士后，2024年在沪高考需满足哪些要求？,39,"Option A: 高中阶段学校毕业且需提供市人力资源社会保障局证明  
Option B: 仅需高中阶段学校毕业  
Option C: 需父母双方持有本市居住证  
Option D: 需父母双方均为在站博士后  
Answer: A",A
120,户籍不在上海，但属于梅山等后方基地职工子女的应届生，2024年报考上海高校需满足哪些条件？,40,"Option A: 必须参加本市中招并具有本市高中阶段完整学习经历  
Option B: 需提供梅山等后方基地单位职工子女证明  
Option C: 仅需具有本市高中阶段学习经历  
Option D: 需将户籍迁入上海后报考  
Answer: A",A
121,外地户籍的应届生，若为上海后方基地职工子女，2024年在沪高考需要什么资格？,40,"Option A: 参加本市中招且具有本市高中阶段完整学习经历  
Option B: 需提供上海后方基地单位工作证明  
Option C: 必须具有上海户籍  
Option D: 只需完成高中阶段学业  
Answer: A",A
122,梅山、大屯等地上海后方基地的非沪籍考生，2024年在沪高考是否需要提交额外证明材料？,40,"Option A: 需要  
Option B: 不需要  
Option C: 需学校特别批准  
Option D: 仅需户籍地证明  
Answer: B",B
123,梅山、大屯、鲁矿上海后方基地的往届非户籍考生，2024年在上海高考需要满足哪些学习经历条件？,41,"Option A: 具有本市初中阶段完整学习经历  
Option B: 参加本市高考并具有高中阶段学习经历  
Option C: 参加本市中招且具有高中阶段完整学习经历  
Option D: 需要提供户籍迁移证明  
Answer: C",C
124,非上海户籍的往届生，父母是上海后方基地单位职工，报考本地高校是否需要提供特殊证明？,41,"Option A: 不需要  
Option B: 需要  
Option C: 视情况而定  
Option D: 必须提交户籍证明  
Answer: A",B
125,2024年鲁矿等地上海后方基地职工的非户籍往届子女，在沪高考资格对高中学习经历有何要求？,41,"Option A: 需具有本市高中阶段完整学习经历  
Option B: 需在本市高中阶段学习至少一年  
Option C: 无需高中阶段学习经历  
Option D: 需提供外地高中学习证明  
Answer: A",A
126,非本市户籍往届考生，父母一方为上海户籍，2023年未参加高考且在复读，2024年能否报考？,42,"Option A: 不可以  
Option B: 可以  
Option C: 需额外申请  
Option D: 视情况而定  
Answer: A",A
127,父母现属上海户籍的非沪籍往届生，2023年未进行高考报名，2024年复读后是否具备高考资格？,42,"Option A: 不具备  
Option B: 具备  
Option C: 需重新参加本市中招  
Option D: 视当年政策调整而定  
Answer: A",答案：A
128,考生父母是上海户籍但本人非沪籍，2022年高考未报到且2023年未报名，2024年复读能否参加高考？,42,"Option A: 不可以  
Option B: 可以，因父母是上海户籍  
Option C: 需提供额外证明  
Option D: 视复读学校决定  
Answer: A",A
129,梅山、大屯、鲁矿三地哪些学生符合参加上海高考的条件？,43,"Option A: 所有高中毕业生  
Option B: 户籍在上海的学生  
Option C: 职工子女且在锁定名单，并参加上海中招和毕业  
Option D: 在上海就读高中的学生  
Answer: C",C
130,上海后方基地单位的职工子女如何获得在上海高考的资格？,43,"Option A: 直接向市教委申请即可  
Option B: 参加本市中招并在本市高中阶段学校毕业，且纳入锁定名单  
Option C: 只要父母是基地职工就能自动获得资格  
Option D: 需通过上海高考预选考试  
Answer: B",B
131,哪些外地高中毕业生可以在上海参加高考？,43,"Option A: 梅山、大屯、鲁矿三地上海后方基地单位职工子女，且纳入市教委锁定名单并在上海高中毕业的  
Option B: 任何在上海就读高中的外地户籍学生  
Option C: 参加过本市中考的所有外地高中毕业生  
Option D: 父母在上海工作的外地高中毕业生  
Answer: A",答案：A
132,华侨港澳台学生的全国联考名称是什么？,44,"Option A: 港澳台联考  
Option B: 全国统一高考  
Option C: 普通高校联合招收华侨港澳台学生入学考试  
Option D: 上海华侨联考  
Answer: C",C
133,如何咨询华侨港澳台学生联考的具体信息？,44,"Option A: 拨打广东省考试院专线电话020-62833628  
Option B: 联系上海市教育考试院  
Option C: 查看所在学校官网的通知  
Option D: 通过社交媒体平台留言咨询  
Answer: A",A
134,上海是否为华侨港澳台联考设立考点？,44,"Option A: 没有设立  
Option B: 需咨询上海考试院  
Option C: 是  
Option D: 否  
Answer: C",C
135,本市应届高中毕业生有资格参加哪些升学考试？,45,"Option A: 春季考试、专科自主招生考试、研究生考试  
Option B: 春季考试、1月份外语考试、专科自主招生考试、秋季统一高考  
Option C: 春季考试、秋季统一高考、艺术类统考、体育类统考  
Option D: 春季考试、专科自主招生考试、秋季统一高考  
Answer: B",B
136,哪些考试项目面向本市学籍的应届高三学生开放？,45,"Option A: 春季考试、1月份外语考试、专科自主招生考试、秋季统一高考（含艺术类和体育类统一考试）  
Option B: 春季考试、专科自主招生考试、秋季统一高考  
Option C: 1月份外语考试、秋季统一高考、研究生考试  
Option D: 春季考试、秋季统一高考、艺术类统考  
Answer: A",答案：A
137,应届高三学生在本市可以报考哪些高考相关考试？,45,"Option A: 春季考试、1月份外语考试、专科自主招生考试、秋季统一高考（含艺术类和体育类统考）  
Option B: 春季考试、专科自主招生考试、秋季统一高考  
Option C: 1月份外语考试、秋季统一高考、三校生考试  
Option D: 秋季统一高考、研究生考试、教师资格考试  
Answer: A",A
138,往届高中毕业生符合条件的情况下，可以报名参加哪些高考相关考试？,46,"Option A: 春季考试、秋季统一高考  
Option B: 专科自主招生考试、研究生考试  
Option C: 春季考试、1月份外语考试、专科自主招生考试、秋季统一高考（含艺术类统一考试、体育类统一考试）  
Option D: 1月份外语考试、秋季统一高考  
Answer: C",C
139,复读生除了秋季高考外，还有哪些考试项目允许报名？,46,"Option A: 春季考试、1月份外语考试、专科自主招生考试  
Option B: 秋季统一高考、艺术类统考、体育类统考  
Option C: 研究生考试、春季考试、专科自主招生考试  
Option D: 1月份外语考试、公务员考试、秋季统一高考  
Answer: A",A
140,符合资格的往届生可以报考的高考考试类型包括哪些？,46,"Option A: 春季考试、秋季统一高考  
Option B: 1月份外语考试、专科自主招生考试  
Option C: 艺术类统一考试、体育类统一考试  
Option D: 春季考试、1月份外语考试、专科自主招生考试、秋季统一高考  
Answer: D",D
141,上海户籍但在外省市就读高中的应届毕业生，可以参加哪些上海本地的高考类型？,47,"Option A: 春季考试、1月份外语考试、专科自主招生考试、秋季统一高考  
Option B: 秋季统一高考、三校生高考  
Option C: 春季考试、专科自主招生考试、中考  
Option D: 研究生考试、成人高考  
Answer: A",A
142,非上海学籍的上海户籍应届生，有哪些高考相关考试的报名资格？,47,"Option A: 秋季统一高考和研究生考试  
Option B: 春季考试、专科自主招生和研究生考试  
Option C: 春季考试、1月外语考试、专科自主招生、秋季高考（含艺体类考试）  
Option D: 三校生考试和专科自主招生考试  
Answer: C",C
